--- Configuration Memory Analysis (based on wirestat_final.txt) ---
Total unique wires: 6022
Total unique MUX ports used: 64

Detailed MUX Input Breakdown (Top 20 most inputs):
MUX Key (x, y, pin)       | Total Inputs | Internal   | External (PI) | Conf. Bits
--------------------------+--------------+------------+------------+-----------
(1, 0, 0)                 | 129          | 14         | 115        | 8
(0, 1, 0)                 | 123          | 21         | 102        | 7
(0, 0, 0)                 | 122          | 13         | 109        | 7
(1, 1, 0)                 | 120          | 21         | 99         | 7
(2, 0, 0)                 | 118          | 10         | 108        | 7
(2, 1, 0)                 | 116          | 20         | 96         | 7
(3, 2, 0)                 | 113          | 22         | 91         | 7
(2, 2, 0)                 | 112          | 21         | 91         | 7
(2, 3, 0)                 | 112          | 26         | 86         | 7
(1, 3, 0)                 | 111          | 24         | 87         | 7
(3, 0, 0)                 | 111          | 12         | 99         | 7
(0, 2, 0)                 | 111          | 20         | 91         | 7
(1, 2, 0)                 | 111          | 24         | 87         | 7
(3, 1, 0)                 | 106          | 21         | 85         | 7
(1, 1, 1)                 | 106          | 18         | 88         | 7
(3, 0, 1)                 | 106          | 12         | 94         | 7
(0, 3, 0)                 | 105          | 20         | 85         | 7
(0, 0, 2)                 | 104          | 13         | 91         | 7
(2, 2, 1)                 | 104          | 24         | 80         | 7
(2, 1, 1)                 | 104          | 18         | 86         | 7
...

Total Configuration Bits (All MUXes): 449
