--- Overall Circuit Statistics ---
Total netlists processed: 6

--- Feedback Statistics ---
Average feedback wires per netlist: 2.00

--- Input Fan-out Statistics (Sorted by Average Fan-out) ---
Node Name            | Average Fan-out      | Occurrence Count
---------------------+----------------------+---------------------
_37509_              | 15.00                | 1
po0988               | 13.00                | 1
_37258_              | 10.50                | 2
pi0955               | 9.00                 | 1
_18745_              | 7.00                 | 1
_12190_              | 7.00                 | 1
_37259_              | 7.00                 | 1
_37254_              | 7.00                 | 1
_37248_              | 7.00                 | 1
_37253_              | 6.00                 | 1
_37247_              | 6.00                 | 1
_12010_              | 3.00                 | 1
_18924_              | 3.00                 | 1
pi1062               | 2.00                 | 1
pi1040               | 2.00                 | 1
_10377_              | 1.00                 | 1
pi0953               | 1.00                 | 1
_10464_              | 1.00                 | 1
_12205_              | 1.00                 | 1
pi0625               | 1.00                 | 1
_09888_              | 1.00                 | 1
_12176_              | 1.00                 | 1
_12275_              | 1.00                 | 1
_18732_              | 1.00                 | 1
_12349_              | 1.00                 | 1
pi0693               | 1.00                 | 1
_12197_              | 1.00                 | 1
_09903_              | 1.00                 | 1
_12044_              | 1.00                 | 1
_12122_              | 1.00                 | 1
_09947_              | 1.00                 | 1
pi0317               | 1.00                 | 1
pi1069               | 1.00                 | 3
pi1042               | 1.00                 | 2
pi0391               | 1.00                 | 1
pi0364               | 1.00                 | 1
pi0463               | 1.00                 | 1
pi0381               | 1.00                 | 1
pi0410               | 1.00                 | 1
pi1037               | 1.00                 | 2
pi0333               | 1.00                 | 1
pi0406               | 1.00                 | 1
pi0337               | 1.00                 | 1
pi1059               | 1.00                 | 3
pi0366               | 1.00                 | 1
pi0409               | 1.00                 | 1
pi1076               | 1.00                 | 1
pi1058               | 1.00                 | 2
pi1070               | 1.00                 | 2
pi0447               | 1.00                 | 1
pi0412               | 1.00                 | 1
pi1078               | 1.00                 | 2
pi0442               | 1.00                 | 1
pi1044               | 1.00                 | 2
pi1113               | 1.00                 | 1
pi0776               | 1.00                 | 1
pi1111               | 1.00                 | 1
pi0763               | 1.00                 | 1
pi1131               | 1.00                 | 1
pi0739               | 1.00                 | 1
pi1120               | 1.00                 | 1
pi1123               | 1.00                 | 1
pi1122               | 1.00                 | 1
pi1103               | 1.00                 | 1
pi1128               | 1.00                 | 1
pi1117               | 1.00                 | 1
pi1100               | 1.00                 | 1
pi1105               | 1.00                 | 1
pi1127               | 1.00                 | 1
pi1108               | 1.00                 | 1
pi0316               | 1.00                 | 1
pi1047               | 1.00                 | 1
pi1074               | 1.00                 | 3
pi0837               | 1.00                 | 1
pi0460               | 1.00                 | 1
pi1080               | 1.00                 | 2
pi0362               | 1.00                 | 1
pi0458               | 1.00                 | 1
pi1072               | 1.00                 | 3
pi0315               | 1.00                 | 1
pi0441               | 1.00                 | 1
pi1051               | 1.00                 | 2
pi0462               | 1.00                 | 1
pi0855               | 1.00                 | 1
pi0854               | 1.00                 | 1
pi0851               | 1.00                 | 1
pi1049               | 1.00                 | 2
pi1045               | 1.00                 | 1
pi0850               | 1.00                 | 1
pi1048               | 1.00                 | 1
pi0844               | 1.00                 | 1
pi1065               | 1.00                 | 2
pi0870               | 1.00                 | 1
pi0881               | 1.00                 | 1
pi0329               | 1.00                 | 1
pi0326               | 1.00                 | 1
pi1055               | 1.00                 | 1
pi0318               | 1.00                 | 1
pi1043               | 1.00                 | 1
pi1067               | 1.00                 | 1
pi0392               | 1.00                 | 1
pi0335               | 1.00                 | 1
pi1063               | 1.00                 | 2
pi0395               | 1.00                 | 1
pi0393               | 1.00                 | 1
pi0325               | 1.00                 | 1
pi0390               | 1.00                 | 1
pi0328               | 1.00                 | 1
pi0402               | 1.00                 | 1
pi1039               | 1.00                 | 1
pi0394               | 1.00                 | 1
pi1057               | 1.00                 | 2
pi0334               | 1.00                 | 1
pi0319               | 1.00                 | 1
pi0438               | 1.00                 | 1
pi1086               | 1.00                 | 1
pi0436               | 1.00                 | 1
pi0432               | 1.00                 | 1
pi0446               | 1.00                 | 1
_37332_              | 1.00                 | 1
pi0433               | 1.00                 | 1
pi1071               | 1.00                 | 1
_18031_              | 1.00                 | 1
pi0421               | 1.00                 | 1
pi0423               | 1.00                 | 1
pi0448               | 1.00                 | 1
pi1084               | 1.00                 | 1
pi0431               | 1.00                 | 1
pi1068               | 1.00                 | 1
pi0449               | 1.00                 | 1
pi0429               | 1.00                 | 1
pi1087               | 1.00                 | 1
pi1036               | 1.00                 | 1
pi1053               | 1.00                 | 1
pi0444               | 1.00                 | 1
pi0451               | 1.00                 | 1
pi0434               | 1.00                 | 1
pi0435               | 1.00                 | 1
